Index,Pitch,PWM
646,31.85,103
647,31.67,103
648,31.49,103
649,31.31,104
650,31.13,104
651,30.97,104
652,30.79,104
653,30.63,104
654,30.47,104
655,30.30,104
656,30.15,104
657,29.98,105
658,29.84,105
659,29.68,105
660,29.53,105
661,29.41,105
662,29.25,105
663,29.13,105
664,28.99,105
665,28.88,106
666,28.74,106
667,28.62,106
668,28.50,106
669,28.37,106
670,28.28,106
671,28.16,106
672,28.06,106
673,27.94,107
674,27.84,107
675,27.73,107
676,27.62,107
677,27.54,107
678,27.42,107
679,27.36,107
680,27.25,107
681,27.17,107
682,27.08,108
683,27.00,108
684,26.90,108
685,26.82,108
686,26.74,108
687,26.65,108
688,26.58,108
689,26.48,108
690,26.41,109
691,26.32,109
692,26.26,109
693,26.18,109
694,26.13,109
695,26.06,109
696,25.99,109
697,25.94,109
698,25.88,110
699,25.83,110
700,25.78,110
701,25.76,110
702,25.68,110
703,25.66,110
704,25.59,110
705,25.57,110
706,25.50,110
707,25.49,111
708,25.43,111
709,25.42,111
710,25.37,111
711,25.34,111
712,25.28,111
713,25.27,111
714,25.22,111
715,25.19,112
716,25.14,112
717,25.12,112
718,25.07,112
719,25.05,112
720,25.00,112
721,24.97,112
722,24.92,112
723,24.90,112
724,24.84,113
725,24.81,113
726,24.75,113
727,24.72,113
728,24.65,113
729,24.64,113
730,24.58,113
731,24.55,113
732,24.49,113
733,24.47,114
734,24.39,114
735,24.37,114
736,24.30,114
737,24.27,114
738,24.19,114
739,24.16,114
740,24.08,114
741,24.05,115
742,23.98,115
743,23.91,115
744,23.86,115
745,23.78,115
746,23.74,115
747,23.64,115
748,23.61,115
749,23.49,115
750,23.45,116
751,23.36,116
752,23.30,116
753,23.21,116
754,23.13,116
755,23.07,116
756,22.96,116
757,22.90,116
758,22.79,116
759,22.74,117
760,22.63,117
761,22.56,117
762,22.47,117
763,22.38,117
764,22.31,117
765,22.19,117
766,22.14,117
767,22.02,117
768,21.95,118
769,21.86,118
770,21.76,118
771,21.71,118
772,21.58,118
773,21.52,118
774,21.42,118
775,21.33,118
776,21.26,118
777,21.14,119
778,21.08,119
779,20.97,119
780,20.90,119
781,20.81,119
782,20.70,119
783,20.64,119
784,20.53,119
785,20.45,119
786,20.36,119
787,20.26,120
788,20.19,120
789,20.08,120
790,19.99,120
791,19.92,120
792,19.79,120
793,19.73,120
794,19.62,120
795,19.51,120
796,19.44,121
797,19.32,121
798,19.24,121
799,19.15,121
800,19.03,121
801,18.96,121
802,18.86,121
803,18.74,121
804,18.68,121
805,18.57,121
806,18.46,122
807,18.39,122
808,18.27,122
809,18.20,122
810,18.11,122
811,17.98,122
812,17.89,122
813,17.80,122
814,17.67,122
815,17.61,123
816,17.48,123
817,17.38,123
818,17.31,123
819,17.19,123
820,17.08,123
821,17.01,123
822,16.87,123
823,16.76,123
824,16.68,123
825,16.55,124
826,16.46,124
827,16.38,124
828,16.24,124
829,16.14,124
830,16.06,124
831,15.93,124
832,15.83,124
833,15.76,124
834,15.62,124
835,15.51,124
836,15.44,125
837,15.30,125
838,15.20,125
839,15.12,125
840,14.99,125
841,14.87,125
842,14.79,125
843,14.65,125
844,14.53,125
845,14.46,125
846,14.35,126
847,14.21,126
848,14.14,126
849,14.03,126
850,13.89,126
851,13.80,126
852,13.71,126
853,13.56,126
854,13.47,126
855,13.40,126
856,13.26,126
857,13.14,127
858,13.06,127
859,12.94,127
860,12.80,127
861,12.72,127
862,12.62,127
863,12.46,127
864,12.36,127
865,12.28,127
866,12.13,127
867,12.01,127
868,11.94,128
869,11.83,128
870,11.69,128
871,11.61,128
872,11.52,128
873,11.38,128
874,11.27,128
875,11.20,128
876,11.08,128
877,10.94,128
878,10.86,128
879,10.75,129
880,10.61,129
881,10.51,129
882,10.43,129
883,10.32,129
884,10.18,129
885,10.10,129
886,10.02,129
887,9.88,129
888,9.76,129
889,9.68,129
890,9.59,129
891,9.44,130
892,9.34,130
893,9.26,130
894,9.14,130
895,9.01,130
896,8.92,130
897,8.85,130
898,8.72,130
899,8.59,130
900,8.51,130
901,8.42,130
902,8.28,131
903,8.16,131
904,8.09,131
905,8.00,131
906,7.86,131
907,7.75,131
908,7.65,131
909,7.55,131
910,7.40,131
911,7.28,131
912,7.19,131
913,7.09,131
914,6.95,131
915,6.83,132
916,6.74,132
917,6.64,132
918,6.50,132
919,6.38,132
920,6.29,132
921,6.20,132
922,6.06,132
923,5.94,132
924,5.84,132
925,5.75,132
926,5.62,132
927,5.48,132
928,5.37,133
929,5.29,133
930,5.18,133
931,5.04,133
